evid,orid,magid,magnitude,magtype,uncertainty,nsta,nobs,lat,lon,depth,datetime,erhor,erlat,erlon,sdep,gap,quality,ndef,nbs,nbfm,fdepth,fepi
61536142,3101163,3013528,0.04,l,0.06699928375162903,6,9,46.110166666666665,-122.141,5.71,1563177541.9399986,0.37,,,0.61,210,1,9,4,4,n,n
61519147,3094693,3002718,1.1,l,0.11318681130107167,2,4,48.593833333333336,-123.04983333333334,14.12,1555985890.4799995,0.57,,,1.24,93,1,19,10,7,n,n
61519487,3094113,3001813,2.47,l,0.1562069120876508,7,17,44.41416666666667,-124.48216666666667,7.97,1556060778.1499977,1.28,,,47.61,135,0.5,22,8,8,y,n
61519162,3094118,3001823,1.06,l,0.12807633429677967,7,11,43.99183333333333,-122.64,8.26,1555996946.9099998,0.44,,,1.43,94,1,22,9,9,n,n
61520666,3094638,3002618,1.76,l,0.2169982047682607,6,10,47.62716666666667,-124.446,40.71,1556811659.5099983,1.61,,,2.1,211,0.75,15,5,9,n,n
61520171,3094313,3002063,0.93,l,0.16227881255820442,8,12,47.227833333333336,-122.30016666666667,12.87,1556537962.6100006,0.79,,,0.65,94,1,19,8,6,n,n
61520176,3094318,3002073,0.87,l,0.13578473281312808,3,5,47.57,-122.75516666666667,20.54,1556542313.1399994,0.83,,,0.59,248,1,8,4,4,n,n
61520186,3094358,3002128,1.96,l,0.115917213318667,12,25,48.40116666666667,-122.362,20.83,1556561625.3099995,0.55,,,1.2,73,1,29,5,9,n,n
61518737,3094403,3002203,2.19,l,0.20914544330896523,22,44,47.96966666666667,-122.45233333333333,29.15,1555770740.9899979,0.31,,,0.55,36,1,55,17,27,n,n
61520216,3094463,3002318,0.73,l,0.025455654954186002,5,6,46.547,-122.434,8.75,1556568854.8499985,1.91,,,9.9,332,0.5,8,1,6,y,n
61520081,3094338,3002103,1.09,l,0.1586737847307078,14,19,46.0535,-122.32316666666667,17.2,1556435886.540001,0.41,,,0.82,100,1,25,8,10,n,n
61520106,3094343,3002113,2.02,l,0.16865739819982495,9,18,44.415333333333336,-124.69116666666666,15.39,1556464005.2700005,1.23,,,4.91,287,0.5,18,6,2,n,n
61753097,3166863,3115358,1.78,l,0.06510596900925725,4,9,48.294666666666664,-122.086,14.44,1627956191.2199974,0.49,,,0.82,66,1,18,7,7,n,n
61520261,3094513,3002408,1.36,l,0.11988974930025265,8,14,48.33,-122.82516666666666,17.62,1556625418.8199997,0.61,,,1.37,124,1,23,7,6,n,n
61520251,3094518,3002418,1.27,l,0.20281499309624884,8,13,47.367333333333335,-122.31383333333333,26.39,1556596231.7399998,0.67,,,1.13,68,1,22,9,4,n,n
61520651,3094728,3002773,2.04,l,0.15766172160998781,15,33,47.594166666666666,-122.6955,1.6,1556808223.8799992,0.39,,,0.68,54,1,31,9,14,n,n
61520276,3094543,3002468,1.6300000000000001,l,0.11964814730316387,8,14,44.990833333333335,-123.841,44.3,1556632293.9299998,0.66,,,0.8,167,1,20,8,6,n,n
61520441,3094578,3002513,2,l,0.14846653731124038,15,31,48.16733333333333,-123.12633333333333,45.94,1556696299.709999,0.54,,,0.91,60,1,38,11,17,n,n
61753197,3166848,3115328,0.89,l,0.14487406998227437,8,14,46.54933333333334,-122.35916666666667,17.89,1627987933.7199974,0.36,,,1.11,97,1,32,13,9,n,n
61520461,3094583,3002523,1.31,l,0.27184390233004274,9,18,48.08316666666666,-123.12333333333333,44.56,1556717005.1699982,0.84,,,0.65,121,1,16,3,10,n,n
61520626,3094643,3002628,1.57,l,0.09616774235528602,7,10,45.49483333333333,-122.78066666666666,27.57,1556797661.33,0.68,,,1.6,105,1,17,8,7,n,n
61520246,3094718,3002753,0.6,l,0.12535683410747267,8,11,46.481833333333334,-122.27583333333334,14.15,1556595053.8499985,1.22,,,1.78,169,0.75,13,4,5,n,n
61520646,3094648,3002648,1.24,l,0.1472691912102937,10,17,47.1905,-123.10383333333333,18.67,1556807549.7,0.46,,,1.04,82,1,19,7,5,n,n
61538227,3101903,3014833,0.8300000000000001,l,0.022962170979744845,4,7,48.653,-123.09566666666667,21.81,1563870335.63,1.25,,,2.05,97,0.75,15,7,1,n,n
61520446,3094598,3002548,1.24,l,0.11972151544415999,4,8,44.996833333333335,-123.661,-0.22,1556697492.619999,0.94,,,1.06,146,1,16,8,7,n,n
61520436,3094613,3002578,1.2,l,0.1115248876102759,5,7,47.894,-122.30116666666666,14.96,1556692557.289999,0.48,,,1.65,84,1,12,4,3,n,n
61500788,3101938,3014868,1.37,l,0.1467058490334905,8,14,45.056666666666665,-122.605,19.34,1563841575.3199997,0.38,,,0.81,111,1,12,6,5,n,n
61520761,3094658,3002658,1.18,l,0.03789243066084902,3,6,47.56616666666667,-122.66066666666667,3.1,1556828261.83,0.91,,,0.83,156,1,12,6,2,n,n
